https://fr.wikipedia.org/wiki/Liste_des_pays_par_%C3%A9galit%C3%A9_de_revenus
Uruguay	11.8	7.4	39.7	2013	17.9	2003	42.4	2009
Équateur	35.2	17.3	45	2016	17.5	2006
Nigeria	17.8	9.7	43	2009	17.5	2003	43.7	2003
Singapour	17.7	9.7	42.5	1998	17.3	1998	47.8	2009
Turquie	6.6	4.6	42.9	2015	17.1	2003	39.7	2008
Côte d'Ivoire	16.6	9.7	41.5	2015	17.0	2002	41.5	2008
Jamaïque	17.3	9.8	45.5	2004	17.0	2004	45.5	2004
Iran	17.2	9.7	38.8	2014	16.9	1998	44.5	2006	38.314
Ouganda	16.6	9.2	41	2012	16.4	2002	44.3	2009
Népal	15.8	9.1	32.8	2010	15.6	2004	47.2	2008
Philippines	15.5	9.3	40.1	2015	15.5	2003	45.8	2006
Cameroun	15.7	9.1	46.6	2014	15.4	2001	44.6	2001
Nicaragua	31.0	8.8	46.2	2014	15.4	2001	43.1	2001
Géorgie	15.4	8.3	36.5	2016	15.2	2003	40.8	2009
États-Unis	15.9	8.4	41.5	2016	15.0	2007 est.	45.0	2007
Ghana	14.1	8.4	42.4	2012	13.7	1999	39.4	2005–2006
Tunisie	13.4	7.9	35.822	201022	13.7	2000	40.0	2005 est.
Royaume-Uni	13.8	7.2	33.2	2015	13.6	1999	34.0	2005
Russie	12.7	7.6	37.719	201519	12.8	2002	42.2	2009
Australie	12.5	7.0	34.7	2010	12.7	1994	30.5	2006
Mali	12.5	7.6	33	2009	12.6	2001	40.1	2001
Sénégal	12.3	7.4	40.3	2011	12.4	2001	41.3	2001
Thaïlande	12.6	7.7	37.8	2013	12.4	2002	53.6	2009
Macédoine du Nord	12.5	7.5	35.6	2014	12.3	2003	44.2	2008
Turkménistan	12.3	7.7	40.8	1998	12.2	1998	40.8	1998
Cambodge	12.2	7.3	30.8	2012	12.0	2004	44.4	2007 est.
Danemark	8.1	4.3	28.2	2015	12.0	2000 est.	29.0	2007
Maroc	11.7	7.2	40.9	2007	11.9	1999	39.0	2014
Israël	13.4	7.9	41.415	201215	11.8	2005	39.2	2008
Mauritanie	12.0	7.4	32.6	2014	11.8	2000	39.0	2000
Italie	11.6	6.5	34.7	2014	11.7	2000	32.0	2006
Lettonie	11.6	6.8	34.2	2015	11.6	2003	35.7	2008
Birmanie			38.1	2015	11.6	1998			40
Burkina Faso	11.6	6.9	35.3	2014	11.5	2003	39.5	2007
Jordanie	11.3	6.9	33.7	2010	11.3	2003	39.7	2007
Estonie	10.8	6.4	32.7	2015	11.0	2003	31.4	2009
Malawi	10.9	6.7	45.5	2010	11.0	2004	39.0	2004
Ouzbékistan	10.6	6.2	35.3	2003	10.6	2003	36.8	2003
Grèce	10.2	6.2	36	2015	10.4	2000 est.	33.0	2005
Lituanie	10.4	6.3	37.4	2015	10.3	2003	37.6	2008
Espagne	10.3	6.0	36.2	2015	10.2	2000	32.0	2005
Vietnam	6.9	4.9	34.8	2014	10.0	2004	37.6	2008
Algérie	9.6	6.1	27.67	20117	9.6	1995	35.3	1995
Azerbaïdjan	9.7	6.0	31.8	2008	9.5	2001	33.7	2008
Canada	9.4	5.5	34	2013	9.5	2000	32.1	2005
Bénin	9.4	6.0	47.8	2015	9.4	2003	36.5	2003
Irlande	9.4	5.6	31.9	2014	9.4	2000	29.3	2009
Tanzanie	9.2	5.8	37.8	2011	9.3	2000	37.6	2007
Pays-Bas	9.2	5.1	29.3	2015	9.2	1999	30.9	2007
Portugal	15.0	8.0	35.5	2015	9.2	1995 est.	38.5	2007
Suisse	9.0	5.5	32.5	2014	8.9	2000	33.7	2008
Bulgarie	7.0	4.4	37.4	2014	8.8	2005	45.3	2007
Pologne	8.8	5.6	31.8	2015	8.7	2002	34.2	2008
Inde	8.6	5.6	35.1	2011	8.6	2004	36.8	2004
Corée du Sud	7.8	4.7	31.6	2012	8.6	2005 est.	31.4	2009
Yémen	8.6	5.6	36.7	2014	8.6	2003	37.7	2005
Laos	8.3	5.4	36.4	2012	8.4	2002	36.7	2008
Belgique	8.2	4.9	27.7	2015	8.3	2000	28.0	2005
France	9.1	5.6	32.712	201512	8.3	2004	32.7	2008
Moldavie	8.2	5.3	26.3	2016	8.3	2003	38.0	2008
Mongolie	8.2	5.4	32.3	2016	8.2	2002	36.5	2008
Égypte	8.0	5.1	31.8	2015	8.0	2000	34.4	2001
Kazakhstan	8.5	5.6	26.9	2015	8.0	2004 est.	26.7	2009
Indonésie	7.8	5.2	39.5	2013	7.9	2002	36.8	2009
Tadjikistan	7.8	5.2	34	2015	7.8	2003	32.6	2006
Ukraine	5.9	4.1	2523	201623	7.6	2006	27.5	2008
Bangladesh	7.5	4.9	32.4	2016	7.5	2000 est.	33.2	2005
Roumanie	7.5	4.9	28.3	2016	7.4	2003	31.2	2008
Albanie	7.2	4.8	29	2012	7.2	2004	34.5	2008
Croatie	7.3	4.8	30.8	2015	7.2	2003 est.	33.7	2008
Biélorussie	6.9	4.5	27	2016	6.9	2002	27.2	2008
Allemagne	6.9	4.3	31.713	201513	6.9	2000	27.0	2006
Autriche	6.9	4.4	30.5	2015	6.8	2004	26.0	2007
Luxembourg			31.2	2014	6.8	2000	26.0	2005
Slovaquie	6.7	4.0	26.5	2015	6.7	1996	26.0	2005
Pakistan	6.5	4.3	30.7	2013	6.6	2002	30.6	2007–2008
Éthiopie	6.6	4.3	39.1	2015	6.5	2000	30.0	2000
Kirghizistan	6.4	4.4	26.8	2016	6.4	2003	33.4	2007
Suède	6.2	4.0	29.2	2015	6.2	2000	23.0	2005
Taïwan					6.1	2002 est.	32.6	200021
Norvège	6.1	3.9	27.518	201518	6.0	2000	25.0	2008
Slovénie	5.9	3.9	25.4	2015	5.9	1998	28.4	2008
Finlande	5.6	3.8	27.1	2015	5.7	2000	26.8	2008
Hongrie	5.5	3.8	30.4	2015	5.6	2002	24.7	2009
Bosnie-Herzégovine	5.4	3.8	32.7	2015	5.5	2001	36.2	2007
République tchèque	5.2	3.5	25.9	2015	5.2	1996	26.0	2005
Japon	4.5	3.4	32.116	200816	4.5	1993	37.6	2008
